id,code,parent_id,name,full_code
107,107,205,Отдел 107,755205107
126,126,755,Отдел 126,755126
128,128,351,Отдел 128,755351128
131,131,855,Отдел 131,755855131
133,133,243,Отдел 133,755243133
145,145,860,Отдел 145,755860145
147,147,215,Отдел 147,755215147
172,172,205,Отдел 172,755205172
174,174,351,Отдел 174,755351174
181,181,205,Отдел 181,755205181
182,182,329,Отдел 182,755329182
190,190,382,Отдел 190,755382190
195,195,382,Отдел 195,755382195
196,196,205,Отдел 196,755205196
200,200,329,Отдел 200,755329200
204,204,855,Отдел 204,755855204
205,205,755,Отдел 205,755205
215,215,755,Отдел 215,755215
228,228,243,Отдел 228,755243228
243,243,755,Отдел 243,755243
260,260,855,Отдел 260,755855260
264,264,860,Отдел 264,755860264
267,267,351,Отдел 267,755351267
276,276,855,Отдел 276,755855276
297,297,243,Отдел 297,755243297
304,304,243,Отдел 304,755243304
315,315,855,Отдел 315,755855315
321,321,205,Отдел 321,755205321
324,324,215,Отдел 324,755215324
326,326,382,Отдел 326,755382326
329,329,755,Отдел 329,755329
334,334,860,Отдел 334,755860334
339,339,126,Отдел 339,755126339
351,351,755,Отдел 351,755351
371,371,215,Отдел 371,755215371
374,374,215,Отдел 374,755215374
382,382,755,Отдел 382,755382
385,385,243,Отдел 385,755243385
397,397,351,Отдел 397,755351397
401,401,126,Отдел 401,755126401
445,445,126,Отдел 445,755126445
449,449,329,Отдел 449,755329449
453,453,855,Отдел 453,755855453
464,464,243,Отдел 464,755243464
468,468,243,Отдел 468,755243468
471,471,351,Отдел 471,755351471
474,474,382,Отдел 474,755382474
480,480,329,Отдел 480,755329480
488,488,855,Отдел 488,755855488
490,490,351,Отдел 490,755351490
530,530,860,Отдел 530,755860530
533,533,329,Отдел 533,755329533
560,560,351,Отдел 560,755351560
565,565,126,Отдел 565,755126565
571,571,351,Отдел 571,755351571
618,618,860,Отдел 618,755860618
647,647,205,Отдел 647,755205647
650,650,329,Отдел 650,755329650
659,659,860,Отдел 659,755860659
666,666,215,Отдел 666,755215666
675,675,329,Отдел 675,755329675
692,692,329,Отдел 692,755329692
704,704,329,Отдел 704,755329704
705,705,351,Отдел 705,755351705
717,717,382,Отдел 717,755382717
719,719,205,Отдел 719,755205719
724,724,329,Отдел 724,755329724
734,734,382,Отдел 734,755382734
744,744,860,Отдел 744,755860744
751,751,860,Отдел 751,755860751
755,755,,Головное подразделение 755,755
764,764,382,Отдел 764,755382764
766,766,205,Отдел 766,755205766
778,778,126,Отдел 778,755126778
787,787,205,Отдел 787,755205787
793,793,215,Отдел 793,755215793
800,800,860,Отдел 800,755860800
815,815,382,Отдел 815,755382815
819,819,215,Отдел 819,755215819
822,822,855,Отдел 822,755855822
834,834,855,Отдел 834,755855834
848,848,382,Отдел 848,755382848
855,855,755,Отдел 855,755855
859,859,126,Отдел 859,755126859
860,860,755,Отдел 860,755860
878,878,215,Отдел 878,755215878
882,882,215,Отдел 882,755215882
892,892,382,Отдел 892,755382892
914,914,243,Отдел 914,755243914
926,926,126,Отдел 926,755126926
927,927,126,Отдел 927,755126927
929,929,855,Отдел 929,755855929
948,948,205,Отдел 948,755205948
955,955,215,Отдел 955,755215955
964,964,243,Отдел 964,755243964
970,970,126,Отдел 970,755126970
978,978,243,Отдел 978,755243978
983,983,351,Отдел 983,755351983
986,986,126,Отдел 986,755126986
989,989,860,Отдел 989,755860989
