username,division_id,profession_code,staff_id,full_name
30233,778,4924,22794,Сотрудник 30233
30513,195,6574,14594,Сотрудник 30513
30611,986,4594,23339,Сотрудник 30611
30634,565,3104,19723,Сотрудник 30634
32362,464,7933,11998,Сотрудник 32362
32605,859,7573,11930,Сотрудник 32605
32615,276,2983,26641,Сотрудник 32615
32742,174,8178,27404,Сотрудник 32742
32890,147,6039,10071,Сотрудник 32890
33330,692,9006,23142,Сотрудник 33330
34454,860,7217,10690,Сотрудник 34454
34491,215,3678,12099,Сотрудник 34491
34509,815,7305,11987,Сотрудник 34509
34755,819,6931,25499,Сотрудник 34755
34802,704,2490,24125,Сотрудник 34802
34932,474,3706,11917,Сотрудник 34932
35373,659,5387,17502,Сотрудник 35373
36049,297,1320,11922,Сотрудник 36049
36553,560,9086,13177,Сотрудник 36553
36789,468,8124,19128,Сотрудник 36789
37015,927,5316,24521,Сотрудник 37015
37332,751,8788,17134,Сотрудник 37332
37565,371,1054,12471,Сотрудник 37565
37857,329,6314,17541,Сотрудник 37857
38353,764,7119,26478,Сотрудник 38353
38574,892,4947,24910,Сотрудник 38574
38578,675,9831,28712,Сотрудник 38578
38681,926,7917,11776,Сотрудник 38681
38801,453,3592,25160,Сотрудник 38801
39706,970,6108,29143,Сотрудник 39706
39769,267,5343,28979,Сотрудник 39769
40188,848,3928,13209,Сотрудник 40188
40339,260,5120,18148,Сотрудник 40339
40590,182,2404,23862,Сотрудник 40590
42179,755,5011,17363,Сотрудник 42179
43343,666,3647,15450,Сотрудник 43343
43387,324,8518,19126,Сотрудник 43387
43804,488,4259,13057,Сотрудник 43804
43970,929,2797,23880,Сотрудник 43970
45415,382,5423,29278,Сотрудник 45415
45643,618,5340,17021,Сотрудник 45643
46010,983,7253,23194,Сотрудник 46010
46136,855,4753,17217,Сотрудник 46136
46458,471,6311,17005,Сотрудник 46458
47090,196,7483,17799,Сотрудник 47090
47168,397,2291,19348,Сотрудник 47168
47301,401,9838,23318,Сотрудник 47301
47333,719,8434,18186,Сотрудник 47333
47381,878,3622,25304,Сотрудник 47381
47408,717,3288,27670,Сотрудник 47408
47849,571,9318,11658,Сотрудник 47849
48133,172,6948,22419,Сотрудник 48133
48466,650,2744,27714,Сотрудник 48466
48677,964,9670,13581,Сотрудник 48677
49621,200,5809,16013,Сотрудник 49621
49661,304,5305,28882,Сотрудник 49661
49826,445,9798,27574,Сотрудник 49826
50203,724,9480,15159,Сотрудник 50203
50591,339,3341,25907,Сотрудник 50591
50721,766,7544,17963,Сотрудник 50721
50734,131,9180,26848,Сотрудник 50734
51860,334,1950,18691,Сотрудник 51860
52472,181,7127,17746,Сотрудник 52472
52873,264,2041,13225,Сотрудник 52873
53450,647,5062,12626,Сотрудник 53450
53898,914,8398,11864,Сотрудник 53898
54197,315,4471,20277,Сотрудник 54197
54218,449,8669,21119,Сотрудник 54218
55939,128,5041,14336,Сотрудник 55939
56462,351,4599,28151,Сотрудник 56462
57475,190,2085,12209,Сотрудник 57475
57760,822,2833,15395,Сотрудник 57760
58029,948,9728,15073,Сотрудник 58029
58167,800,7538,25624,Сотрудник 58167
58717,321,1189,16279,Сотрудник 58717
58957,978,8963,28212,Сотрудник 58957
59965,834,8020,25489,Сотрудник 59965
60035,530,3267,16240,Сотрудник 60035
62017,734,1010,25774,Сотрудник 62017
63123,744,9690,25914,Сотрудник 63123
63154,107,3505,23471,Сотрудник 63154
64262,133,4484,12322,Сотрудник 64262
64665,989,5372,24701,Сотрудник 64665
65235,385,1772,21610,Сотрудник 65235
65601,882,2877,16233,Сотрудник 65601
65756,480,9646,27767,Сотрудник 65756
66155,204,2134,25948,Сотрудник 66155
66211,374,4296,11644,Сотрудник 66211
66257,145,9202,28034,Сотрудник 66257
66347,490,2828,23825,Сотрудник 66347
66760,955,3061,16223,Сотрудник 66760
66897,326,9349,13091,Сотрудник 66897
67043,533,6156,20828,Сотрудник 67043
67335,243,1917,29283,Сотрудник 67335
67941,205,1526,10236,Сотрудник 67941
68176,787,9836,11874,Сотрудник 68176
68252,705,4457,11030,Сотрудник 68252
68963,793,6169,12327,Сотрудник 68963
68997,126,8574,21079,Сотрудник 68997
69639,228,5890,10484,Сотрудник 69639
