id,division_id,profession_code,employee_username
10071,147,6039,32890
10236,205,1526,67941
10484,228,5890,69639
10690,860,7217,34454
11030,705,4457,68252
11644,374,4296,66211
11658,571,9318,47849
11776,926,7917,38681
11864,914,8398,53898
11874,787,9836,68176
11917,474,3706,34932
11922,297,1320,36049
11930,859,7573,32605
11987,815,7305,34509
11998,464,7933,32362
12099,215,3678,34491
12209,190,2085,57475
12322,133,4484,64262
12327,793,6169,68963
12471,371,1054,37565
12626,647,5062,53450
13057,488,4259,43804
13091,326,9349,66897
13177,560,9086,36553
13209,848,3928,40188
13225,264,2041,52873
13581,964,9670,48677
14336,128,5041,55939
14594,195,6574,30513
15073,948,9728,58029
15159,724,9480,50203
15395,822,2833,57760
15450,666,3647,43343
16013,200,5809,49621
16223,955,3061,66760
16233,882,2877,65601
16240,530,3267,60035
16279,321,1189,58717
17005,471,6311,46458
17021,618,5340,45643
17134,751,8788,37332
17217,855,4753,46136
17363,755,5011,42179
17502,659,5387,35373
17541,329,6314,37857
17746,181,7127,52472
17799,196,7483,47090
17963,766,7544,50721
18148,260,5120,40339
18186,719,8434,47333
18691,334,1950,51860
19126,324,8518,43387
19128,468,8124,36789
19348,397,2291,47168
19723,565,3104,30634
20277,315,4471,54197
20828,533,6156,67043
21079,126,8574,68997
21119,449,8669,54218
21610,385,1772,65235
22419,172,6948,48133
22794,778,4924,30233
23142,692,9006,33330
23194,983,7253,46010
23318,401,9838,47301
23339,986,4594,30611
23471,107,3505,63154
23825,490,2828,66347
23862,182,2404,40590
23880,929,2797,43970
24125,704,2490,34802
24521,927,5316,37015
24701,989,5372,64665
24910,892,4947,38574
25160,453,3592,38801
25304,878,3622,47381
25489,834,8020,59965
25499,819,6931,34755
25624,800,7538,58167
25774,734,1010,62017
25907,339,3341,50591
25914,744,9690,63123
25948,204,2134,66155
26478,764,7119,38353
26641,276,2983,32615
26848,131,9180,50734
27404,174,8178,32742
27574,445,9798,49826
27670,717,3288,47408
27714,650,2744,48466
27767,480,9646,65756
28034,145,9202,66257
28151,351,4599,56462
28212,978,8963,58957
28712,675,9831,38578
28882,304,5305,49661
28979,267,5343,39769
29143,970,6108,39706
29278,382,5423,45415
29283,243,1917,67335
